Nhóm nghĩa loại,Chủ đề lớn (TV),Chủ đề con (TV),
,,Thành ngữ về điện ,击电奔星     尺波电谢     投壶电笑     星旗电戟     星流电击     星行电征     星飞电急     星驰电发     星驰电掣     星驰电走     流星掣电     流星飞电     潮鸣电挚     潮鸣电掣     电光朝露     电光石火     电掣星驰     电掣风驰     电流星散     电照风行     电闪雷鸣     疾如雷电     石火电光     神抶电击     轰雷掣电     迅电流光     追云逐电     追风掣电     追风逐电     逐电追风     逐风追电     雷嗔电怒     雷惊电绕     雷电交加     风回电激     风旋电掣     风激电飞     风激电骇     风行电击     风行电扫     风行电掣     风行电照     风驰电击     风驰电卷     风驰电掣     风驰电赴     风驰电逝     风驰电骋     风驱电击     风驱电扫     飙举电至     飙发电举     飞云掣电     驱雷掣电     驱雷策电     驱霆策电     驹窗电逝     鬼出电入。
,,Thành ngữ về sấm sét ,一雷二闪     不越雷池     咆哮如雷     大发雷霆     天打雷劈     如雷灌耳     如雷贯耳     布鼓雷门     平地起雷     平地风雷     暴跳如雷     暴躁如雷     欢声雷动     烈火轰雷     爆跳如雷     瓦釜雷鸣     电闪雷鸣     疾如雷电     疾风迅雷     聚蚊成雷     蝉喘雷干     轰雷掣电     轰雷贯耳     迅雷风烈     闻雷失箸     雷令风行     雷动风行     雷厉风行     雷厉风飞     雷嗔电怒     雷奔云谲     雷惊电绕     雷打不动     雷电交加     雷霆万钧     雷霆之怒     雷鸣瓦釜     风掣雷行     风行雷厉     风雷之变     风雷火炮     驱雷掣电     驱雷策电     鬼工雷斧     鼻息如雷     鼾声如雷
,,Thành ngữ về thời tiết,"万里无云     云淡风轻     云迷雾锁     五黄六月     冰雪严寒     凄风苦雨     十冬腊月     和风丽日     天寒地冻     寒风侵肌     惨雨酸风     折胶堕指     日丽风和     日丽风清     春暖花开     流金铄石     滴水成冰     焦沙烂石     焦金流石     焦金烁石     皓月千里     知地知天     碧空万里     碧空如洗     秋高气和     秋高气爽     苦雨凄风     薄暮冥冥     虹销雨霁     铄石流金     雨僝云僽     雪窖冰天     雪虐风饕     风和日丽     风轻云净     风轻云淡     风雨交加     飘风苦雨
风和日丽
风和日暖
秋高气爽
日丽风和
雨过天青
雨过天晴
月白风清
云消雾散
"
,Thành ngữ về động vật,Thành ngữ về loài sói,使羊将狼     声名狼藉     如狼似虎     如狼如虎     如狼牧羊     官虎吏狼     引狼入室     引狼拒虎     引狼自卫     引虎拒狼     拒狼进虎     拒虎进狼     杯盘狼籍     杯盘狼藉     枭视狼顾     狗肺狼心     狗行狼心     狼前虎后     狼号鬼哭     狼吃幞头     狼吞虎咽     狼吞虎噬     狼吞虎餐     狼嗥狗叫     狼嗥鬼叫     狼嚎鬼叫     狼奔兔脱     狼奔豕突     狼奔鼠偷     狼奔鼠窜     狼子兽心     狼子野心     狼心狗肺     狼心狗行     狼烟四起     狼烟大话     狼狈万状     狼狈不堪     狼狈为奸     狼狈周章     狼猛蜂毒     狼眼鼠眉     狼突豕窜     狼突鸱张     狼羊同饲     狼艰狈蹶     狼虫虎豹     狼贪虎视     狼贪鼠窃     狼顾狐疑     狼顾虎视     狼顾鸢视     狼顾鸱张     狼顾鸱跱     狼顾麕惊     狼飡虎咽     狼飡虎食     狼飧虎咽     狼餐虎咽     狼餐虎噬     粒米狼戾     羊狠狼贪     脏污狼藉     虎狼之势     虎穴狼巢     豕突狼奔     豕窜狼逋     豺狼之吻     豺狼当涂     豺狼当路     豺狼当道     豺狼成性     豺狼横道     豺狼虎豹     豺狼野心     贪污狼藉     赃污狼籍     赃污狼藉     赃私狼籍     赃私狼藉     赃秽狼藉     赃货狼藉     赃贿狼籍     赃贿狼藉     进退狼狈     除狼得虎     驱羊战狼     鬼吒狼嚎     鬼咤狼嚎     鬼哭狼嗥     鬼哭狼嚎     鬼抓狼嚎     鸱视狼顾     鸷击狼噬     鸷狠狼戾     鹯视狼顾     鹰挚狼食     鹰睃狼顾     鹰视狼步     鹰视狼顾     鼠心狼肺     鼠窜狼奔
,,Thành ngữ về loài gấu,柙虎樊熊     梦熊之喜     熊心豹胆     熊据虎跱     熊经鸟伸     熊经鸟引     熊经鸟曳     熊经鸟申     熊经鸱顾     熊罴之士     熊罴入梦     熊罴百万     熊腰虎背     熊韬豹略     画荻丸熊     虎体熊腰     虎背熊腰     飞熊入梦     鱼与熊掌
,,Thành ngữ về loài mèo,争猫丢牛     捉鼠拿猫     照猫画虎     猫哭老鼠     猫噬鹦鹉     猫鼠同乳     猫鼠同处     猫鼠同眠     阿狗阿猫     阿猫阿狗
,,Thành ngữ về loài nai,中原逐鹿     以鹿为马     共挽鹿车     即鹿无虞     心头撞鹿     心头鹿撞     指鹿为马     指鹿作马     挺鹿走险     权移马鹿     标枝野鹿     獐麇马鹿     秦失其鹿     群雄逐鹿     覆鹿寻蕉     逐鹿中原     铤鹿走险     马鹿异形     马鹿易形     鸿案鹿车     鹿死谁手     鹿皮苍璧     鹿裘不完     鹿走苏台     鹿车共挽     鹿驯豕暴
,,Thành ngữ về loài cá,丛雀渊鱼     临渊羡鱼     为渊驱鱼     以筌为鱼     以蚓投鱼     以鱼驱蝇     似水如鱼     信及豚鱼     冻浦鱼惊     前庭悬鱼     化及豚鱼     及宾有鱼     吞舟之鱼     土崩鱼烂     城门鱼殃     多鱼之漏     如鱼似水     如鱼得水     宵鱼垂化     射鱼指天     幕燕釜鱼     幕燕鼎鱼     弃其馀鱼     弹铗无鱼     得鱼忘筌     得鱼忘荃     悬龟系鱼     指天射鱼     撒水拿鱼     放鱼入海     曼衍鱼龙     枯鱼之肆     枯鱼涸辙     枯鱼病鹤     枯鱼衔索     殃及池鱼     水到鱼行     水清无鱼     池鱼之祸     池鱼之虑     池鱼堂燕     池鱼幕燕     池鱼林木     池鱼笼鸟     沉鱼落雁     河决鱼烂     河鱼之疾     河鱼天雁     河鱼腹疾     浑水摸鱼     涸辙枯鱼     涸鱼得水     混水捞鱼     渊鱼丛爵     渊鱼丛雀     漏网之鱼     牛蹄中鱼     牛蹄之鱼     狐鸣鱼书     瓦影之鱼     甑尘釜鱼     登木求鱼     白鱼登舟     白鱼赤乌     瞎子摸鱼     祸及池鱼     祸近池鱼     笼鸟池鱼     缘木求鱼     羊续悬鱼     肥鱼大肉     自相鱼肉     葬身鱼腹     虫鱼之学     豕亥鱼鲁     贯鱼之序     贯鱼之次     釜中游鱼     釜中生鱼     釜底游鱼     釜鱼幕燕     釜鱼甑尘     雀马鱼龙     雁去鱼来     雁断鱼沉     雁杳鱼沉     雁素鱼笺     雁逝鱼沉     霄鱼垂化     食鱼遇鲭     马如游鱼     鱼与熊掌     鱼书雁信     鱼书雁帖     鱼书雁帛     鱼传尺素     鱼升龙门     鱼县鸟窜     鱼大水小     鱼封雁帖     鱼尾雁行     鱼帛狐声     鱼帛狐篝     鱼惊鸟散     鱼死网破     鱼水和谐     鱼水深情     鱼水相投     鱼水相欢     鱼沉雁杳     鱼沉雁渺     鱼沉雁落     鱼沉雁静     鱼沉鸿断     鱼游沸釜     鱼游沸鼎     鱼游濠上     鱼游燋釜     鱼游釜中     鱼游釜内     鱼游釜底     鱼溃鸟散     鱼溃鸟离     鱼烂取亡     鱼烂土崩     鱼烂河决     鱼烂瓦解     鱼烂而亡     鱼生空釜     鱼目混珍     鱼目混珎     鱼目混珠     鱼目间珠     鱼瞵鹗睨     鱼笺雁书     鱼米之乡     鱼米之地     鱼网鸿离     鱼肉乡里     鱼肉百姓     鱼肠尺素     鱼肠雁足     鱼质龙文     鱼贯而入     鱼贯而出     鱼贯而行     鱼贯雁比     鱼贯雁行     鱼跃鸢飞     鱼跃龙门     鱼釜尘甑     鱼馁肉败     鱼鱼雅雅     鱼鲁帝虎     鱼龙变化     鱼龙曼延     鱼龙曼羡     鱼龙曼衍     鱼龙混杂     鱼龙漫衍     鱼龙百变     鲁鱼帝虎     鲁鱼陶阴     鲂鱼赪尾     鲇鱼上竹     鲇鱼上竿     鲍鱼之次     鳄鱼眼泪     鳏鱼渴凤     鸟惊鱼散     鸟惊鱼溃     鸟惊鱼骇     鸟散鱼溃     鸟焚鱼烂     鸡头鱼刺     鸢飞鱼跃     鸱张鱼烂     鸿断鱼沉     鼎鱼幕燕     龙战鱼骇     龙阳泣鱼
,,Thành ngữ về loài ngỗng,千里鹅毛     摇鹅毛扇     水净鹅飞     水尽鹅飞     鸡争鹅斗     鸡声鹅斗     鸭步鹅行     鸭行鹅步     鹅毛大雪     鹅湖之会     鹅王择乳     鹅行鸭步
,,Thành ngữ về loài voi,万象更新     万象森罗     众盲摸象     包罗万象     合眼摸象     太平无象     得意忘象     忘象得意     拔犀擢象     拽象拖犀     无可比象     森罗万象     气象万千     盲人摸象     盲人说象     瞎子摸象     蛇欲吞象     象牙之塔     象简乌纱     象箸玉杯     象耕鸟耘     象齿焚身     超以象外     超然象外     遗风余象     险象环生     香象渡河     香象绝流     黄金铸象
,,Thành ngữ về loài vịt,打鸭惊鸳     水过鸭背     鸭步鹅行     鸭行鹅步     鹅行鸭步
,,Thành ngữ về loài báo,一斑窥豹     九关虎豹     九阍虎豹     以管窥豹     熊心豹胆     熊韬豹略     狼虫虎豹     窥豹一斑     管中窥豹     豹头环眼     豹死留皮     豺狼虎豹     龙眉豹颈     龙肝豹胎     龙腾豹变     龙韬豹略     龙骧豹变
,,Thành ngữ về loài lừa,借坡下驴     博士买驴     卸磨杀驴     非驴非马     驴前马后     驴唇马嘴     驴唇马觜     驴年马月     驴心狗肺     驴鸣犬吠     驴鸣狗吠     骑驴倒堕     骑驴索句     骑驴觅驴     黔驴之技     黔驴之计     黔驴技孤     黔驴技穷
,,Thành ngữ về loài kiến,云屯蚁聚     以肉去蚁     以骨去蚁     先驱蝼蚁     堤溃蚁孔     堤溃蚁穴     如蚁慕膻     如蚁附膻     白蚁争穴     群蚁溃堤     群蚁附膻     蚁封穴雨     蚁拥蜂攒     蚁斗蜗争     蚁溃鼠骇     蚁穴坏堤     蚁穴溃堤     蚁穴自封     蚁聚蜂屯     蚁聚蜂攒     蚁萃螽集     蚁附蜂屯     蚁附蝇集     蚁集蜂攒     蚂蚁缘槐     蜂合蚁聚     蜂屯蚁杂     蜂屯蚁聚     蜂屯蚁附     蜂房蚁穴     蜂扇蚁聚     蜂拥蚁屯     蜂拥蚁聚     蜂攒蚁聚     蜂攒蚁集     蜂窠蚁穴     蜂营蚁队     蜂趋蚁附     蝇攒蚁聚     蝇攒蚁附     蝇营蚁聚     蝇营蚁附     蝇集蚁附     蝇飞蚁聚     蝼蚁贪生     鸱张蚁聚     麋沸蚁动
,,Thành ngữ về loài rùa,不待蓍龟     不龟手药     传龟袭紫     兔角龟毛     凿龟数策     悬龟系鱼     援鳖失龟     无待蓍龟     犀顶龟文     蝉腹龟肠     证龟成鳖     诟龟呼天     金龟换酒     鸡胸龟背     麟凤龟龙     鼎玉龟符     龟冷搘床     龟冷支床     龟厌不告     龟年鹤寿     龟年鹤算     龟文鸟迹     龟毛兔角     龟玉毁椟     龟鹤遐寿     龟鹤遐龄     龟龄鹤算     龟龙片甲     龟龙鳞凤     龟龙麟凤
,,Thành ngữ về loài vượn,亡猿灾木     亡猿祸木     心猿意马     惊猿脱兔     意马心猿     狐媚猿攀     猿啼鹤唳     猿啼鹤怨     猿悲鹤怨     猿惊鹤怨     猿猴取月     猿穴坏山     猿鹤沙虫     猿鹤虫沙     穷猿奔林     穷猿投林     笼鸟槛猿     虫沙猿鹤     蜂腰猿背     鸟哭猿啼     鹤唳猿声     鹤怨猿惊
,,Thành ngữ về loài phượng hoàng,丹凤朝阳     乘鸾跨凤     乘龙配凤     伏龙凤雏     倒凤颠鸾     凤仪兽舞     凤冠霞帔     凤凰于飞     凤凰在笯     凤凰来仪     凤协鸾和     凤友鸾交     凤友鸾谐     凤只鸾孤     凤叹虎视     凤吟鸾吹     凤子龙孙     凤引九雏     凤彩鸾章     凤愁鸾怨     凤枭同巢     凤楼龙阙     凤歌鸾舞     凤毛济美     凤毛鸡胆     凤毛麟角     凤毛龙甲     凤泊鸾漂     凤泊鸾飘     凤狂龙躁     凤皇于蜚     凤皇于飞     凤皇来仪     凤管鸾笙     凤管鸾箫     凤箫鸾管     凤箫龙管     凤翥鸾回     凤翥鸾翔     凤翥鹏翔     凤翥龙翔     凤翥龙蟠     凤翥龙骧     凤臆龙鬐     凤舞鸾歌     凤舞龙蟠     凤舞龙飞     凤表龙姿     凤采鸾章     凤附龙攀     凤雏麟子     凤靡鸾吪     凤食鸾栖     凤骨龙姿     凤髓龙肝     凤鸣朝阳     凤鸣鹤唳     凤鸣麟出     分钗劈凤     化鸱为凤     吉光凤羽     吕安题凤     威凤一羽     威凤祥麟     娇鸾雏凤     彩凤随鸦     打凤捞龙     打凤牢龙     托凤攀龙     扳龙附凤     描龙绣凤     攀龙讬凤     攀龙附凤     景星凤凰     景星凤皇     景星麟凤     有凤来仪     朝阳丹凤     朝阳鸣凤     梧凤之鸣     泣麟悲凤     潜蛟困凤     炮凤烹龙     炮龙烹凤     烹龙庖凤     烹龙炮凤     烹龙煮凤     烹龙砲凤     百鸟朝凤     砲凤烹龙     砲龙烹凤     祥麟威凤     离鸾别凤     翥凤翔鸾     腾蛟起凤     舞凤飞龙     认鸡作凤     起凤腾蛟     跨凤乘鸾     跨凤乘龙     采凤随鸦     镜分鸾凤     附凤攀龙     雏凤清声     雕龙画凤     颠鸾倒凤     飞鸾翔凤     驭凤骖鹤     骑龙弄凤     高凤自秽     鬻鸡为凤     鳏鱼渴凤     鸠集凤池     鸡不及凤     鸡栖凤巢     鸣凤朝阳     鸦巢生凤     鸳俦凤侣     鸾交凤俦     鸾交凤友     鸾俦凤侣     鸾凤分飞     鸾凤和鸣     鸾分凤离     鸾只凤单     鸾吟凤唱     鸾回凤翥     鸾姿凤态     鸾孤凤只     鸾孤凤寡     鸾歌凤吹     鸾歌凤舞     鸾漂凤泊     鸾翔凤翥     鸾翔凤集     鸾翱凤翥     鸾胶凤丝     鸾舆凤驾     鸾颠凤倒     鸾飘凤泊     鸾飞凤翥     鸾飞凤舞     鸾鸣凤奏     鸿轩凤翥     鸿隐凤伏     鸿鶱凤立     鸿鶱凤逝     麟凤一毛     麟凤龟龙     麟子凤雏     麟肝凤髓     麟角凤嘴     麟角凤毛     麟角凤觜     麟角凤距     龙兴凤举     龙凤呈祥     龙姿凤采     龙心凤肝     龙攀凤附     龙楼凤城     龙楼凤池     龙楼凤阁     龙楼凤阙     龙潜凤采     龙盘凤翥     龙盘凤舞     龙盘凤逸     龙眉凤目     龙章凤函     龙章凤姿     龙章凤彩     龙翔凤翥     龙翔凤舞     龙蟠凤翥     龙蟠凤逸     龙血凤髓     龙言凤语     龙跃凤鸣     龙雏凤种     龙雕凤咀     龙颜凤姿     龙飞凤翔     龙飞凤翥     龙飞凤舞     龙驹凤雏     龙骧凤矫     龟龙鳞凤     龟龙麟凤
,,Thành ngữ về loài chim,一石二鸟     乌鸟私情     云屯鸟散     伤弓之鸟     倦鸟知还     兽聚鸟散     兽迒鸟迹     卵覆鸟飞     坌鸟先飞     如鸟兽散     寒蝉僵鸟     小鸟依人     惊弓之鸟     惊弦之鸟     木干鸟栖     池鱼笼鸟     熊经鸟伸     熊经鸟引     熊经鸟曳     熊经鸟申     百鸟朝凤     禽息鸟视     穷鸟入怀     笨鸟先飞     笼中之鸟     笼鸟槛猿     笼鸟池鱼     羊肠鸟道     花香鸟语     蚕丛鸟道     象耕鸟耘     越鸟南栖     轻徙鸟举     长颈鸟喙     青鸟殷勤     飞鸟依人     飞鸟惊蛇     鱼县鸟窜     鱼惊鸟散     鱼溃鸟散     鱼溃鸟离     鸟伏兽穷     鸟哭猿啼     鸟啼花怨     鸟啼花落     鸟声兽心     鸟尽弓藏     鸟得弓藏     鸟惊鱼散     鸟惊鱼溃     鸟惊鱼骇     鸟惊鼠窜     鸟散鱼溃     鸟枪换炮     鸟枪换砲     鸟焚鱼烂     鸟穷则啄     鸟覆危巢     鸟语花香     鸟迹虫丝     鸟道羊肠     鸟集鳞萃     鸟面鹄形     鸟革翚飞     鸟骇鼠窜     鸮鸟生翼     鹄形鸟面     龟文鸟迹
,,Thành ngữ về loài hạc,一琴一鹤     不舞之鹤     云中仙鹤     云中白鹤     云心鹤眼     凤鸣鹤唳     凫短鹤长     凫胫鹤膝     凫鹤从方     别鹤孤鸾     别鹤离鸾     千岁鹤归     华亭鹤唳     妻梅子鹤     孤云野鹤     孤雌寡鹤     庞眉鹤发     延颈鹤望     强凫变鹤     惭凫企鹤     截鹤续凫     断鹤继凫     断鹤续凫     朱颜鹤发     杳如黄鹤     松形鹤骨     枭心鹤貌     枯鱼病鹤     梅妻鹤子     槛花笼鹤     烧琴煮鹤     焚琴煮鹤     焚琴鬻鹤     煮鹤烧琴     煮鹤焚琴     爱鹤失众     独鹤鸡群     猿啼鹤唳     猿啼鹤怨     猿悲鹤怨     猿惊鹤怨     猿鹤沙虫     猿鹤虫沙     离鸾别鹤     童颜鹤发     续凫截鹤     续凫断鹤     续鹜短鹤     虫沙猿鹤     轩鹤冠猴     野鹤孤云     野鹤闲云     闲云孤鹤     闲云野鹤     风声鹤唳     驭凤骖鹤     驾鹤成仙     驾鹤西游     骀背鹤发     骑扬州鹤     骑鹤上扬     骑鹤扬州     骑鹤维扬     骖鸾驭鹤     鸡皮鹤发     鸡肤鹤发     鸣鹤之应     鸾音鹤信     鸿俦鹤侣     鹤势螂形     鹤发松姿     鹤发童颜     鹤发鸡皮     鹤唳华亭     鹤唳猿声     鹤唳风声     鹤困鸡群     鹤处鸡群     鹤子梅妻     鹤归华表     鹤怨猿惊     鹤知夜半     鹤短凫长     鹤立鸡群     鹤背扬州     鹤膝蜂腰     鹤行鸡群     鹤长凫短     鹤骨松姿     鹤骨松筋     鹤骨霜髯     鹤骨鸡肤     鹤骨龙筋     鹤鸣之士     鹤鸣九皋     龟年鹤寿     龟年鹤算     龟鹤遐寿     龟鹤遐龄     龟龄鹤算
,,Thành ngữ về loài đại bàng,养鹰飏去     南鹞北鹰     放鹰逐犬     犬牙鹰爪     见兔放鹰     雏鹰展翅     雕心鹰爪     飞鹰奔犬     飞鹰走犬     飞鹰走狗     飞鹰走马     饥鹰饿虎     饿虎饥鹰     鹰击毛挚     鹰击长空     鹰嘴鹞目     鹰头雀脑     鹰心雁爪     鹰扬虎噬     鹰扬虎视     鹰拿燕雀     鹰拿雁捉     鹰挚狼食     鹰撮霆击     鹰犬之才     鹰犬塞途     鹰睃狼顾     鹰瞵虎攫     鹰瞵虎视     鹰瞵鹗视     鹰视狼步     鹰视狼顾     鹰视虎步     鹰觑鹘望     鹰鼻鹞眼
,,Thành ngữ về loài ong,剔蝎撩蜂     戏蝶游蜂     招蜂引蝶     招蜂惹蝶     撩蜂剔蝎     撩蜂吃螫     浪蝶游蜂     浪蝶狂蜂     游蜂戏蝶     游蜂浪蝶     狂蜂浪蝶     狼猛蜂毒     稷蜂社鼠     蚁拥蜂攒     蚁聚蜂屯     蚁聚蜂攒     蚁附蜂屯     蚁集蜂攒     蛇口蜂针     蜂出泉流     蜂合蚁聚     蜂合豕突     蜂媒蝶使     蜂屯乌合     蜂屯蚁杂     蜂屯蚁聚     蜂屯蚁附     蜂房蚁穴     蜂扇蚁聚     蜂拥而上     蜂拥而来     蜂拥而至     蜂拥蚁屯     蜂拥蚁聚     蜂攒蚁聚     蜂攒蚁集     蜂狂蝶乱     蜂目豺声     蜂窠蚁穴     蜂腰削背     蜂腰猿背     蜂营蚁队     蜂虿有毒     蜂识莺猜     蜂起云涌     蜂趋蚁附     蜂迷蝶恋     蜂迷蝶猜     蜂附云集     蝶恋蜂狂     蝶粉蜂黄     鹤膝蜂腰     鼠窜蜂逝
,,Thành ngữ về loài bướm,庄周梦蝶     庄生梦蝶     戏蝶游蜂     招蜂引蝶     招蜂惹蝶     梦里蝴蝶     浪蝶游蜂     浪蝶狂蜂     游蜂戏蝶     游蜂浪蝶     狂蜂浪蝶     穿花蛱蝶     莺歌蝶舞     蜂媒蝶使     蜂狂蝶乱     蜂迷蝶恋     蜂迷蝶猜     蝶使蜂媒     蝶化庄周     蝶化庄生     蝶怨蛩凄     蝶恋蜂狂     蝶意莺情     蝶粉蜂黄     鹏游蝶梦
,Thành ngữ về thực vật,Thành ngữ về cây,一树百获     上树拔梯     云树之思     云树遥隔     刀山剑树     刃树剑山     切树倒根     刨树搜根     别树一帜     别树一旗     剑树刀山     因树为屋     坐树不言     坐树无言     大树将军     寻根拔树     尺树寸泓     拔帜树帜     拔树寻根     拔树搜根     拔树撼山     指树为姓     撼树蚍蜉     春树暮云     暮云春树     枪林刀树     枯树开花     枯树生华     枯树生花     枯树逢春     树上开花     树俗立化     树倒根摧     树元立嫡     树同拔异     树大招风     树大根深     树德务滋     树碑立传     树高招风     江云渭树     火树琪花     火树银花     独树一帜     玉树临风     玉树琼枝     玉树芝兰     琪花玉树     琼林玉树     琼枝玉树     瑶林玉树     瑶林琼树     百年树人     百载树人     积基树本     耕耘树艺     自树一帜     芝兰玉树     萱花椿树     蚍蜉撼树     讳树数马     谢家宝树     铁树开华     铁树开花     铁树花开     银花火树     高自标树
,,Thành ngữ về hoa,一花独放     下马看花     乱坠天花     五花八门     五花大绑     五花杀马     人面桃花     借花献佛     傍花随柳     先花后果     分花拂柳     分花约柳     口吻生花     口坠天花     叶瘦花残     吟花咏柳     吹花嚼蕊     咏月嘲花     团花簇锦     墙花路柳     墙花路草     天女散花     天花乱坠     头昏眼花     头晕眼花     奇花异卉     奇花异草     如花似月     如花似朵     如花似玉     如花似锦     妙笔生花     宠柳娇花     寒花晚节     寻花觅柳     寻花问柳     尤花殢雪     巧语花言     年登花甲     开花结实     开花结果     异木奇花     异草奇花     彩笔生花     心花怒发     心花怒放     恋酒贪花     恋酒迷花     惹草拈花     惹草沾花     披红戴花     拈花一笑     拈花弄月     拈花弄柳     拈花微笑     拈花惹草     拈花摘艳     招花惹草     攀花折柳     攀花问柳     明日黄花     昙花一现     春暖花开     春暖花香     春花秋实     春花秋月     晚节黄花     月下花前     月圆花好     月坠花折     月夕花晨     月夕花朝     月夜花朝     月缺花残     月貌花容     朽木生花     杏花春雨     杨花心性     杨花水性     枯木生花     枯树开花     枯树生花     柳亸花娇     柳啼花怨     柳圣花神     柳娇花媚     柳宠花迷     柳巷花街     柳市花街     柳弱花娇     柳影花阴     柳户花门     柳折花残     柳昏花螟     柳暖花春     柳暗花明     柳暗花遮     柳泣花啼
,,Thành ngữ về cỏ,一草一木     丁真楷草     三顾草庐     不弃草昧     丰草长林     人非草木     依草附木     倚草附木     八公草木     出山小草     刬草除根     削草除根     剗草除根     剪草除根     化若偃草     十步芳草     十步香草     墙花路草     天造草昧     奇花异草     如泣草芥     寝苫枕草     寸草不生     寸草不留     寸草春晖     寸草衔结     屯粮积草     异草奇花     惊蛇入草     惹草拈花     惹草沾花     惹草沾风     惹草粘花     打草惊蛇     打草蛇惊     承星履草     拈花惹草     拈花摘草     招花惹草     招风惹草     拨草寻蛇     拨草瞻风     探竿影草     救命稻草     斩草除根     春晖寸草     杀人如草     枯蓬断草     横草之功     沾花惹草     沾风惹草     浮沉草野     浮皮潦草     潦潦草草     潦草塞责     灰头草面     琪花瑶草     瑶草奇花     瑶草琪花     瑶草琪葩     疾风劲草     白草黄云     百草权舆     秋草人情     积草囤粮     积草屯粮     簪蒿席草     粘花惹草     粮多草广     结草衔环     绿草如茵     羊真孔草     美人香草     翦草除根     肤皮潦草     芝草无根     芳草鲜美     茅屋草舍     草偃风从     草偃风行     草创未就     草头天子     草庐三顾     草木俱朽     草木愚夫     草木皆兵     草木知威     草木荣枯     草木萧疏     草泽英雄     草满囹圄     草率了事     草率从事     草率将事     草率收兵     草率行事     草腹菜肠     草船借箭     草芥人命     草茅之臣     草草了事     草草收兵     草草率率     草莽英雄     草菅人命     草薙禽狝     草蛇灰线     草行露宿     草衣木食     草长莺飞     草间求活     草靡风行     莺飞草长     萱草忘忧     落草为寇     蔓草难除     藉草枕块     衔环结草     视如草芥     迷花沾草     野草闲花     铜驼草莽     铲草除根     长林丰草     闲花埜草     闲花野草     闾巷草野     霜行草宿     鞠为茂草     鞫为茂草     风兵草甲     风向草偃     风吹草动     风烛草霜     风烛草露     风行草从     风行草偃     风行草靡     风驰草靡     餐风宿草     饭糗茹草     香草美人     魏颗结草     黄云白草     黄冠草履     黄冠草服
,,Thành ngữ về gỗ,一木破天     一木难扶     一木难支     一草一木     乔木世家     亡猿灾木     亡猿祸木     人非土木     人非木石     人非草木     依丱附木     依草附木     倚草附木     入木三分     八公草木     冢木已拱     刚毅木讷     刻木为吏     刻木为鹄     削木为吏     古木参天     呆似木鸡     呆如木鸡     呆若木鸡     圆孔方木     圆木警枕     土木形骸     土牛木马     墓木已拱     墓木拱矣     声振林木     大兴土木     守株缘木     寒木春华     寸木岑楼     山木自寇     山颓木坏     异木奇花     形如槁木     徙木为信     心如木石     心如槁木     心非木石     投木报琼     择木而处     择木而栖     故家乔木     教猱升木     斩木揭竿     斩竿揭木     断木掘地     木人石心     木公金母     木坏山颓     木头木脑     木已成舟     木干鸟栖     木强少文     木形灰心     木心石腹     木本水源     木朽不雕     木朽蛀生     木梗之患     木牛流马     木猴而冠     木直中绳     木石为徒     木石心肠     木石鹿豕     木落归本     木讷寡言     木雁之间     木雕泥塑     木魅山鬼     木鸡养到     朽木不雕     朽木之才     朽木枯株     朽木死灰     朽木生花     朽木粪土     朽木粪墙     朽木难彫     朽木难雕     朽株枯木     杖头木偶     杜口木舌     枝木之冠     枯木再生     枯木发荣     枯木朽株     枯木死灰     枯木生花     枯木逢春     枯株朽木     榆木圪垯     榆木疙瘩     榆木脑壳     榆木脑袋     槁木死灰     槃木朽株     死灰槁木     水木清华     池鱼林木     泥塑木雕     泰山梁木     浮石沉木     独木不林     独木难支     画地刻木     登木求鱼     盘木朽株     直木先伐     直木必伐     石心木肠     移花接木     穷猿失木     立木南门     竹头木屑     绳锯木断     缘木希鱼     缘木求鱼     罄山采木     良禽择木     草木俱朽     草木愚夫     草木皆兵     草木知威     草木荣枯     草木萧疏     草衣木食     蜚瓦拔木     蟠木朽株     蠢若木鸡     蠹众木折     行将就木     衣赭关木     被赭贯木     触石决木     诽谤之木     身将就木     身非木石     迁于乔木     连理之木     逢场竿木     金口木舌     金母木公     钻木取火     钻木得火     铁心木肠     铸木镂冰     青黄沟木     风木之思     风木之悲     风木含悲     鸣于乔木     鸣雁直木     麻木不仁
,,Thành ngữ về tre trúc,东南竹箭     丝竹之音     丝竹八音     丝竹管弦     刀过竹解     功垂竹帛     势如劈竹     势如破竹     卧冰哭竹     名书竹帛     名垂竹帛     吹竹弹丝     吹竹调丝     哀丝豪竹     品竹弹丝     品竹调丝     品竹调弦     垂名竹帛     尺竹伍符     弄竹弹丝     弹丝品竹     急竹繁丝     成竹在胸     抱鸡养竹     易如破竹     曝书见竹     朽竹篙舟     松茂竹苞     柳门竹巷     武昌剩竹     永垂竹帛     破竹之势     破竹建瓴     磬竹难书     竹头木屑     竹报平安     竹杖芒鞵     竹林之游     竹柏异心     竹清松瘦     竹烟波月     竹篮打水     竹篱茅舍     竹罄南山     竹苞松茂     竹马之交     竹马之友     竹马之好     罄竹难书     罄竹难穷     翠竹黄花     肉竹嘈杂     胸无成竹     胸有成竹     芒鞋竹杖     芒鞋竹笠     茂林修竹     著之竹帛     著乎竹帛     著于竹帛     调丝品竹     调丝弄竹     调弦品竹     豪竹哀丝     金石丝竹     青梅竹马     青竹丹枫     鲇鱼上竹     鸠车竹马
